brottskod;benamning;upphord;kodgrupp
0301;Förs mord/dråp komb självmord/-försök m skjutv(upphörde år 2001);2001;03
0302;Förs mord/dråp ej komb självmord/-förs m skjutv(upphörde år 2001);2001;03
0303;Försök till mord eller dråp utan skjutvapen mot kvinna/flicka(upphörde år 2019);2019;03
0304;Försök till mord eller dråp utan skjutvapen mot man/pojke(upphörde år 2019);2019;03
0305;Förs mord/dråp komb självmord/-försök utan skjutv (upphörde år 2001);2001;03
0306;Förs mord/dråp ej komb självmord/-försök utan skjutv (upphörde år 2001);2001;03
0307;Försök till mord eller dråp med skjutvapen mot kvinna/flicka(upphörde år 2019);2019;03
0308;Försök till mord eller dråp med skjutvapen mot man/pojke(upphörde år 2019);2019;03
0309;Barnadråp;;03
0310;Fullbordat mord eller dråp utan skjutvapen mot kvinna/flicka;;03
0311;Fullbordat mord eller dråp utan skjutvapen mot man/pojke;;03
0312;Fullbordat mord eller dråp med skjutvapen mot kvinna/flicka;;03
0313;Fullbordat mord eller dråp med skjutvapen mot man/pojke;;03
0314;Misshandel, ej med dödlig utgång (upphörde år 1976);1976;03
0315;Vållande till annans död i samband med trafikolycka;;03
0316;Vållande till annans död, ej i samb m trafikolycka (upphörde år 1983);1983;03
0318;Vållande till kroppsskada/sjukdom,ej i samb m trafikolycka(upph.år 1983);;03
0319;Framkallande av fara för annan  (upphörde år 1983);1983;03
0321;Fullb mord/dråp ej komb självmord/-försök ej skjutv (upphörde år 2001);2001;03
0322;Fullb mord/dråp komb självmord/-försök ej skjutv(upphörde år 2001);2001;03
0323;Fullb mord/dråp ej komb självmord/-försök m skjutv (upphörde år 2001);2001;03
0324;Fullb mord/dråp komb självmord/-försök m skjutv (upphörde år 2001);2001;03
0325;Försök, förberedelse, stämpling till mord eller dråp, med skjutvapen, mot kvinna 18 år eller äldre, obekanta;;03
0326;Försök, förberedelse, stämpling till mord eller dråp, utan skjutvapen, mot man 18 år eller äldre, närstående genom parrelation;;03
0327;Försök, förberedelse, stämpling till mord eller dråp, utan skjutvapen, mot man 18 år eller äldre, närstående genom släktskap/familj;;03
0328;Försök, förberedelse, stämpling till mord eller dråp, utan skjutvapen, mot man 18 år eller äldre, bekanta genom annan slags relation;;03
0329;Försök, förberedelse, stämpling till mord eller dråp, utan skjutvapen, mot man 18 år eller äldre, obekanta;;03
0330;Försök, förberedelse, stämpling till mord eller dråp, med skjutvapen, mot man 18 år eller äldre, närstående genom parrelation;;03
0331;Misshandel, utomhus, obekant med offret (upphörde år 1981);1981;03
0332;Misshandel, utomhus, bekant med offret (upphörde år 1981);1981;03
0333;Misshandel, inomhus, obekant med offret (upphörde år 1981);1981;03
0334;Misshandel, inomhus, bekant med offret (upphörde år 1981);1981;03
0335;Försök, förberedelse, stämpling till mord eller dråp, med skjutvapen, mot man 18 år eller äldre, närstående genom släktskap/familj;;03
0336;Försök, förberedelse, stämpling till mord eller dråp, med skjutvapen, mot man 18 år eller äldre, bekanta genom annan slags relation;;03
0337;Försök, förberedelse, stämpling till mord eller dråp, med skjutvapen, mot man 18 år eller äldre, obekanta;;03
0341;Grov misshandel, utomhus, obekant med offret (upphörde år 1981);1981;03
0342;Grov misshandel, utomhus, bekant med offret (upphörde år 1981);1981;03
0343;Grov misshandel, inomhus, obekant med offret (upphörde år 1981);1981;03
0344;Grov misshandel, inomhus, bekant med offret (upphörde år 1981);1981;03
0351;Misshandel utomhus mot barn 0-6 år, obekant med offret(upphörde år 2007);2007;03
0352;Misshandel utomhus mot barn 0-6 år, bekant med offret (upphörde år 2007);2007;03
0353;Misshandel utomhus mot barn 7-14 år, obekant m offret(upphörde år 2007);2007;03
0354;Misshandel utomhus mot barn 7-14 år, bekant m offret (upphörde år 2007);2007;03
0355;Misshandel, utomhus, mot kvinna 18 år eller äldre, obekant med offret;;03
0356;Misshandel, utomhus, mot kvinna 18 år eller äldre, bekant med offret (upphörde år 2018);2018;03
0357;Misshandel, utomhus, mot man 18 år eller äldre, obekant med offret;;03
0358;Misshandel, utomhus, mot man 18 år eller äldre, bekant med offret (upphörde år 2018);2018;03
0361;Misshandel, inomhus, mot barn 0-6 år, obekant m offret(upphörde år 2007);2007;03
0362;Misshandel, inomhus, mot barn 0-6 år, bekant m offret(upphörde år 2007);2007;03
0363;Missh, inomhus, mot barn 7-14 år, obekant med offret (upphörde år 2007);2007;03
0364;Missh, inomhus, mot barn 7-14 år, bekant med offret (upphörde år 2007);2007;03
0365;Missh, inomhus, mot kvinna 18 år eller äldre, obek med offret;;03
0366;Missh, inomhus, mot kvinna, bek med offret (upphörde år 2009);2009;03
0367;Missh, inomhus, mot man 18 år eller äldre, obek med offret;;03
0368;Missh, inomhus mot man 18 år el äldre, bekant m offret(upphörde år 2009);2009;03
0371;Grov missh, utomhus, mot barn 0-6 år, obekant m offret(upphörde år 2007);2007;03
0372;Grov missh, utomhus, mot barn 0-6 år, bekant m offret (upphörde år 2007);2007;03
0373;Grov missh, utomhus, mot barn 7-14 år, obekant m offret(upphörde år 2007);2007;03
0374;Grov missh, utomhus, mot barn 7-14 år, bekant m offret(upphörde år 2007);2007;03
0375;Grov missh, utomhus, mot kvinna 18 år eller äldre, obekant m offret;;03
0376;Grov missh, utomhus, mot kvinna 18 år eller äldre, bekant m offret(upphörde år 2018);2018;03
0377;Grov missh, utomhus, mot man 18 år eller äldre, obekant offret;;03
0378;Grov missh, utomhus, mot man 18 år eller äldre, bekant m offret (upphörde år 2018);2018;03
0381;Grov missh, inomhus, mot barn 0-6 år, obekant m offret(upphörde år 2007);2007;03
0382;Grov missh, inomhus, mot barn 0-6 år, bekant m offret (upphörde år 2007);2007;03
0383;Grov missh, inomhus, mot barn 7-14 år, obekant m offret(upphörde år 2007);2007;03
0384;Grov missh, inomhus, mot barn 7-14 år, bekant m offret(upphörde år 2007);2007;03
0385;Grov missh, inomhus, mot kvinna 18 år eller äldre, obekant m offret;;03
0386;Grov missh inomhus mot kvinna 18 år el äldre, bek m offret(upphörde 2009);2009;03
0387;Grov missh, inomhus, mot man 18 år eller äldre, obek m offret;;03
0388;Grov missh, inomhus, mot man 18 år el äldre, bek m offret(upphörde 2009);2009;03
0391;Vållande till annans död i samband med arbetsmiljöbrott eller arbetsolycka;;03
0392;Vållande till annans död, övriga fall;;03
0393;Vållande till kroppsskada eller sjukdom i samband med arbetsmiljöbrott eller arbetsolycka;;03
0394;Vållande till kroppsskada, övriga fall;;03
0395;Framkallande av fara för annan, för arbetstagare, i samband med arbetsmiljöbrott eller arbetsolycka;;03
0396;Framkallande av fara för annan, övriga fall;;03
0401;Hemfridsbrott, olaga intrång;;04
0402;Olaga hot (upphörde år 1999);1999;04
0403;Ofredande (upphörde år 1999);1999;04
0404;Övriga brott mot kap. 4 (upphörde år 2011);2011;04
0405;Olaga hot mot man 18 år eller äldre (upphörde år 2016);2016;04
0406;Olaga hot mot kvinna 18 år eller äldre (upphörde år 2016);2016;04
0407;Ofredande mot man 18 år eller äldre;;04
0408;Ofredande mot kvinna 18 år eller äldre;;04
0409;Olaga hot mot person under 18 år (upphörde år 2009);2009;04
0410;Ofredande mot person under 18 år (upphörde år 2009);2009;04
0411;Grov fridskränkning (upphörde år 2009);2009;04
0412;Grov kvinnofridskränkning;;04
0413;Olaga hot mot grupp (upphörde år 2016);2016;04
0414;Ofredande mot grupp;;04
0415;Dataintrång;;04
0416;Människohandel för sexuella ändamål (upphörde år 2009);2009;04
0417;Annan människohandel  än för sexuella ändamål (upphörde år 2009);2009;04
0418;Människohandel för sexuella ändamål med barn under 18 år (upphörde år 2025);2025;04
0419;Människohandel för sexuella ändamål med person 18 år eller äldre (upphörde år 2025);2025;04
0420;Annan människohandel med barn under 18 år  (upphörde år 2013);2013;04
0421;Annan människohandel med person 18 år eller äldre  (upphörde år 2013);2013;04
0422;Grov fridskränkning mot flicka under 18 år;;04
0423;Grov fridskränkning mot pojke under 18 år;;04
0424;Grov fridskränkning mot kvinna 18 år eller äldre;;04
0425;Grov fridskränkning mot man 18 år eller äldre;;04
0426;Olaga hot mot flicka under 18 år (upphörde år 2016);2016;04
0427;Olaga hot mot pojke under 18 år (upphörde år 2016);2016;04
0428;Ofredande mot flicka under 18 år;;04
0429;Ofredande mot pojke under 18 år;;04
0430;Brott mot människorov, olaga frihetsberövande(upphörde år 2019);2019;04
0431;Brott mot olaga tvång och avlyssning m.m.(upphörde år 2018);2018;04
0432;Kränkande fotografering;;04
0433;Äktenskapstvång;;04
0434;Vilseledande till tvångsäktenskapsresa (upphörde år 2025);2025;04
0435;Hedersförtryck, mot flicka under 18 år;;04
0436;Hedersförtryck, mot pojke under 18 år;;04
0437;Hedersförtryck, mot kvinna 18 år eller äldre;;04
0438;Hedersförtryck, mot man 18 år eller äldre;;04
0440;Olaga förföljelse mot flicka under 18 år;;04
0441;Olaga förföljelse mot pojke under 18 år;;04
0442;Olaga förföljelse mot kvinna 18 år eller äldre(upphörde år 2019);2019;04
0443;Olaga förföljelse mot man 18 år eller äldre(upphörde år 2019);2019;04
0450;Olaga hot, mot flicka under 18 år, internetrelaterat;;04
0451;Olaga hot, mot flicka under 18 år, ej internetrelaterat;;04
0452;Olaga hot, mot pojke under 18 år, internetrelaterat;;04
0453;Olaga hot, mot pojke under 18 år, ej internetrelaterat;;04
