brottstyp_id;namn;niva;grupp_id;grupp;sokvag
5036;Totalt antal brott;0;5036;Totalt antal brott;Totalt antal brott
11084;Brott mot brottsbalken;0;11084;Brott mot brottsbalken;Brott mot brottsbalken
11086;3-7 kap. Brott mot person;0;11086;3-7 kap. Brott mot person;Brott mot brottsbalken, 3-7 kap. Brott mot person
11086;3-7 kap. Brott mot person;1;11084;Brott mot brottsbalken;Brott mot brottsbalken, 3-7 kap. Brott mot person
11090;3 kap. Brott mot liv och hälsa;0;11090;3 kap. Brott mot liv och hälsa;Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa
11090;3 kap. Brott mot liv och hälsa;1;11086;3-7 kap. Brott mot person;Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa
11802;Försök till mord eller dråp (1, 2 §);0;11802;Försök till mord eller dråp (1, 2 §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §)
11802;Försök till mord eller dråp (1, 2 §);1;11090;3 kap. Brott mot liv och hälsa;Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §)
12997;Mot barn under 18 år;1;11802;Försök till mord eller dråp (1, 2 §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §), Mot barn under 18 år
12999;Mot flicka under 18 år;2;11802;Försök till mord eller dråp (1, 2 §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §), Mot barn under 18 år, Mot flicka under 18 år
13001;Mot pojke under 18 år;2;11802;Försök till mord eller dråp (1, 2 §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §), Mot barn under 18 år, Mot pojke under 18 år
14283;Mot kvinna 18 år eller äldre;1;11802;Försök till mord eller dråp (1, 2 §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §), Mot kvinna 18 år eller äldre
14289;Närstående genom parrelation;2;11802;Försök till mord eller dråp (1, 2 §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §), Mot kvinna 18 år eller äldre, Närstående genom parrelation
14290;Närstående genom släktskap/familj;2;11802;Försök till mord eller dråp (1, 2 §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §), Mot kvinna 18 år eller äldre, Närstående genom släktskap/familj
14291;Annan slags relation eller bekantskap;2;11802;Försök till mord eller dråp (1, 2 §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §), Mot kvinna 18 år eller äldre, Annan slags relation eller bekantskap
14292;Obekanta;2;11802;Försök till mord eller dråp (1, 2 §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §), Mot kvinna 18 år eller äldre, Obekanta
14284;Mot man 18 år eller äldre;1;11802;Försök till mord eller dråp (1, 2 §);Brott mot brottsbalken, 3-7 kap. Brott mot person, 3 kap. Brott mot liv och hälsa, Försök till mord eller dråp (1, 2 §), Mot man 18 år eller äldre
